"gene_patient_celltype","d0","d1","d2","d5","d9","d15"
"AL121933.2_ev_CyclingCD8memoryactivatedT",0,0,0,0.0350936629907703,0.0151953007006465,0.0194773736585393
"OR6N2_at_CyclingCD8T",0,0,0,0,0,0
"ACAD11_ec_NK2/NKintermediate",0,0.413779633365478,0.0903424208988846,0,0,0
"HOXC6_em_Neutrophils",0,0,0,0,0,0
"FUS_at_γδTcells",0.658846144963,0.715939804354966,0.939820341446289,0.608469526277183,0.758612364907478,0
"SLC29A2_em_CD4naiveT",0.0080732842746327,0.0151447143598266,0.0388305476389911,0,0,0
"SOX12_im_CD8cytotoxicT",0,0,0.0470218685354054,0,0,0
"SEPTIN7_rs_Monocytes",1.09521959750224,0,0,0,0,0
"LINC01979_em_CD8memoryactivatedT",0,0,0,0,0,0
"MAP3K5_rs_CD8naiveT",0.0519744288107134,0.0920468405201267,0,0,0,0
"PARK7_em_CD4memoryT",0.875399349196296,0.938846141614185,0.817264002037648,1.27372551017215,0,1.31094021141493
"AC008378.1_ev_NK3adaptive/terminallymature",0,0,0,0.00111949933160047,0,0
"GOSR1_at_Monocytes",0.281104830553317,0,0,0,0,0
"AC010463.2_at_CIKcells",0,0,0,0,0,0
"AC010422.7_ec_CD8memoryactivatedT",0,0,0,0,0,0
"ACOX1_em_CD8cytotoxicT",0,0,0.110519172875025,0.0465280821276965,0,0
"AC011298.1_at_CD8memoryactivatedT",0,0,0,0,0,0
"FP565260.5_im_PlasmacytoidDC",0,0,0,0,0,0
"PDLIM7_sz_CIKcells",0,0,0,0.0383002031703503,0.0443503888012553,0.0150714659374267
"MAN1B1-DT_at_PlasmacytoidDC",0,0,0,0,0,0
"ADRB1_sz_γδTcells",0,0.0035402461289911,0,0,0,0
"CDK2_gz_CD4memoryT",0.00415821883105373,0.0149513670807713,0,0.209510880672905,0,0
"IL27RA_im_CD8cytotoxicT",0,0,0.427585619175099,0,0,0
"AC108449.3_ec_Monocytes",0,0,0,0,0,0
"AL136305.1_sz_PlasmacytoidDC",0,0,0,0,0,0
"GPRC5D_sz_CD4naiveT",0,0.00088238495906057,0,0,0,0
"PEX11B_im_PlasmacytoidDC",0.0854750287259816,0.0256203816167055,0.094766163567083,0,0,0
"AC009121.2_gz_PlasmacytoidDC",0,0,0,0,0,0
"NEURL3_gz_CD8memoryactivatedT",0,0,0,0,0.000820208479025747,0
"TMEM45B_gz_CD4cytotoxicT",0,0,0.0256376440417659,0.0473481504581318,0,0
"AC104506.1_at_CyclingCD8memoryactivatedT",0,0,0,0.00225063848077838,0.00317190032632838,0.00242777902006243
"LINC01872_ec_CD8memoryactivatedT",0,0,0,0,0,0
"AL132657.2_at_CD8naiveactivatedT",0,0,0,0,0,0
"DIP2A-IT1_ec_CD8cytotoxicT",0,0,0,0,0,0
"AC090735.1_em_CD8cytotoxicT",0,0,0,0,0,0
"FAM49B_ec_Bcells",0.833361838914503,1.08429679647197,0.990571863362678,0.978536914480996,0.614875983442545,0
"AC245407.2_sz_CD8memoryactivatedT",0,0,0,0.0916629588948464,0.116193815467625,0.186724690650376
"ARID4B_at_CD4memoryactivatedT",1.16902247429828,1.68551023700286,1.24048007313482,1.32694961535258,1.01378530320403,1.12053037414539
"CGGBP1_rs_CyclingCD8memoryactivatedT",0.630710304279612,0.481128834837862,0,0.624594073108769,0.651217400035821,0.62709775092159
"AC097532.2_ev_NK1",0,0,0,0,0,0
"TNR_sz_CIKcells",0,0,0,0,0,0
"AL158166.1_rs_CD4memoryT",0,0,0,0,0,0
"POMGNT1_gz_Bcells",0.0155490020957276,0.0369213434412951,0.0786246844059867,0.0673413226338271,0.0370630921074746,0
