,index,Pattern,Size,Median_Score,P_Value,Q_Value_FDR,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
28,59,PATTERN_64,5,2.7425766854727514e-05,0.01098901098901099,0.01748251748251748,"LNPEP, RAB10, RAB14, SNAP23, STX4",0.3917,0.2944,1.33,0.002506940848539779
29,57,PATTERN_64,17,2.0160271224932064e-05,0.013986013986013986,0.01748251748251748,"AP1B1, AP1G1, AP1M1, AP1M2, AP1S1, AP1S2, AP1S3, AP2A1, AP2A2, AP2B1, AP2M1, AP2S1, CLTA, CLTC, DNM1, DNM2, VAMP2",0.314,0.228,1.377,0.002644999815590303
30,19,PATTERN_29,3,1.9665596425273433e-05,0.005994005994005994,0.017982017982017984,"PIK3C3, RAB5C, RBSN",0.2317,0.1524,1.521,0.00015732152054967396
31,11,PATTERN_21,3,2.7692630787147144e-05,0.005994005994005994,0.017982017982017984,"RNASE2, RNASE6, RNASET2",0.244,0.0978,2.496,1.584859707481007e-08
32,41,PATTERN_52,3,4.5058080355330884e-05,0.00999000999000999,0.018648018648018648,"COMMD3, COMMD9, VPS35L",0.228,0.15,1.52,0.0006458924462427055
33,40,PATTERN_52,18,1.658956572182905e-05,0.005994005994005994,0.018648018648018648,"CUL3, GAN, GLMN, KBTBD6, KBTBD7, KBTBD8, KEAP1, KLHL13, KLHL2, KLHL20, KLHL21, KLHL22, KLHL25, KLHL3, KLHL41, KLHL42, KLHL9, RBX1",0.1748,0.1188,1.471,0.00026556786729346055
34,42,PATTERN_52,3,7.221781718193939e-06,0.013986013986013986,0.018648018648018648,"ANXA1, ANXA2, S100A11",0.9999,0.6591,1.517,0.00032900883338992634
35,14,PATTERN_24,3,2.1101462690963807e-05,0.01998001998001998,0.01998001998001998,"ORAI1, STIM1, TRPM2",0.2996,0.2013,1.489,0.00030653247110722673
36,56,PATTERN_63,7,8.788991755757736e-06,0.00999000999000999,0.01998001998001998,"ITPR1, ITPR2, ITPR3, ORAI1, ORAI2, STIM1, TRPC1",0.3111,0.2185,1.424,0.0008328333532819043
37,43,PATTERN_53,3,8.75382720338133e-06,0.006993006993006993,0.02097902097902098,"DDX41, DHX36, LRRFIP1",0.5616,0.4204,1.336,0.002575176800490695
38,49,PATTERN_57,3,1.3487267077123632e-05,0.02097902097902098,0.02097902097902098,"RNF25, UBE2D1, UBE2D2",0.4305,0.2814,1.53,8.598745929228812e-06
39,7,PATTERN_15,4,1.2529224409345424e-05,0.02097902097902098,0.02097902097902098,"RNF114, RNF4, UBE2D1, UBE2D2",0.4204,0.2881,1.459,7.595593301565137e-05
