,index,Pattern,Size,Median_Score,P_Value,Q_Value_FDR,Genes,Target_Mean,Background_Mean,Fold_Change,Specificity_P_Val
20,38,PATTERN_63,3,7.8231862821145e-06,0.012987012987012988,0.012987012987012988,"ERAP1, ERAP2, TPP2",0.3076,0.217,1.418,0.0030189872690971325
21,28,PATTERN_55,5,1.199199285843198e-05,0.005994005994005994,0.013986013986013986,"RAP1A, RAP1B, RAP1GAP2, YWHAB, YWHAZ",1.1419,0.7553,1.512,4.827476904520047e-06
22,13,PATTERN_37,3,9.241957293850309e-05,0.013986013986013986,0.013986013986013986,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
23,29,PATTERN_55,3,1.89555989649151e-05,0.006993006993006993,0.013986013986013986,"PIK3C3, RAB5C, RBSN",0.1957,0.1542,1.269,0.022028051860136816
24,46,PATTERN_69,5,8.56778602546228e-06,0.01098901098901099,0.016483516483516487,"C1QB, CSTB, CTSB, CTSL, MT2A",0.5022,0.3332,1.507,0.0004194122920667753
25,3,PATTERN_13,3,0.00010165849417795505,0.016983016983016984,0.016983016983016984,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
26,50,PATTERN_8,3,0.00010349066838768109,0.005994005994005994,0.017982017982017984,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
27,26,PATTERN_53,4,3.8527192736538445e-06,0.017982017982017984,0.017982017982017984,"CAMK2A, CAMK2B, CAMK2D, CAMK2G",0.214,0.1338,1.599,0.0006670546141028602
28,49,PATTERN_8,5,8.098418790259502e-05,0.005994005994005994,0.017982017982017984,"ATP11A, ATP11B, ATP8A1, ATP8B4, TMEM30A",0.3654,0.2581,1.416,0.0030989778023044817
29,47,PATTERN_7,3,9.368149020533093e-05,0.005994005994005994,0.017982017982017984,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
30,14,PATTERN_38,3,1.576464662052464e-05,0.008991008991008992,0.01998001998001998,"RAP1A, RAP1B, SIPA1",0.8801,0.5647,1.559,6.802576134416763e-07
31,22,PATTERN_48,3,2.4452230205164304e-05,0.00999000999000999,0.01998001998001998,"TNFRSF1A, TNFRSF6B, TNFSF15",0.0453,0.0276,1.641,0.0034373303574209493
32,15,PATTERN_38,3,1.5096612030002364e-05,0.00999000999000999,0.01998001998001998,"GOLGA7, HRAS, NRAS",0.1737,0.1338,1.298,0.043079099099176066
33,4,PATTERN_15,5,6.989512363264975e-05,0.011988011988011988,0.02197802197802198,"ATP11A, ATP11B, ATP8A1, ATP8B4, TMEM30A",0.3654,0.2581,1.416,0.0030989778023044817
34,5,PATTERN_16,3,2.6226263788371937e-05,0.01098901098901099,0.02197802197802198,"RAB27A, STXBP2, UNC13D",0.3992,0.2103,1.898,6.802576134416763e-07
35,7,PATTERN_25,6,1.202545461176608e-05,0.015984015984015984,0.025574425574425574,"GDI2, RAB10, RAB14, RAB5B, RAB5C, RAB9B",0.333,0.2617,1.272,0.011598110241087383
36,41,PATTERN_65,3,1.9032011358942544e-05,0.015984015984015984,0.025974025974025976,"ALOX5, COTL1, PLA2G2A",0.3313,0.2051,1.615,0.0016546840438175453
37,40,PATTERN_65,17,1.5114669519965366e-05,0.025974025974025976,0.025974025974025976,"CRCP, POLR1C, POLR2E, POLR2F, POLR2H, POLR2K, POLR2L, POLR3A, POLR3B, POLR3C, POLR3D, POLR3E, POLR3F, POLR3G, POLR3GL, POLR3H, POLR3K",0.2236,0.179,1.249,0.04237515279416145
38,9,PATTERN_29,3,1.5373655566295005e-05,0.002997002997002997,0.026973026973026976,"MAPK12, PTPN4, TICAM2",0.2247,0.1209,1.859,1.6333808224575964e-05
39,6,PATTERN_24,10,2.283412184841305e-05,0.01998001998001998,0.029970029970029972,"SEC22B, SNAP23, SNAP25, SNAP29, STX3, STX4, VAMP2, VAMP3, VAMP7, VAMP8",0.2537,0.1687,1.504,8.598745929228812e-06
40,2,PATTERN_12,4,1.2669145799468115e-05,0.015984015984015984,0.030636030636030636,"FTH1, FTL, HMOX1, PLA2G6",1.3553,1.0531,1.287,0.0021292267651083193
41,0,PATTERN_12,25,2.110456114462452e-05,0.022977022977022976,0.030636030636030636,"ATP6AP2, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, LAMTOR3, TCIRG1",0.2615,0.1967,1.33,0.001165668935381204
42,33,PATTERN_59,6,4.0365491798207854e-05,0.025974025974025976,0.032467532467532464,"ALDH3B1, GSTA2, GSTO1, GSTP1, MGST1, PRDX6",0.4525,0.3112,1.454,0.0002469426450918937
43,17,PATTERN_42,6,4.8866880063238e-06,0.026973026973026972,0.03596403596403596,"CUL1, FBXW2, FBXW4, FBXW5, FBXW9, SKP1",0.354,0.2701,1.311,0.004881187817465538
44,12,PATTERN_35,5,4.389092696376345e-05,0.011988011988011988,0.03596403596403597,"ATP11A, ATP11B, ATP8A1, ATP8B4, TMEM30A",0.3654,0.2581,1.416,0.0030989778023044817
45,11,PATTERN_31,3,5.9685914092803676e-05,0.014985014985014986,0.037462537462537464,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
46,42,PATTERN_66,17,9.809647485340165e-06,0.03796203796203796,0.03796203796203796,"CRCP, POLR1C, POLR2E, POLR2F, POLR2H, POLR2K, POLR2L, POLR3A, POLR3B, POLR3C, POLR3D, POLR3E, POLR3F, POLR3G, POLR3GL, POLR3H, POLR3K",0.2236,0.179,1.249,0.04237515279416145
47,21,PATTERN_48,4,2.540989099493371e-05,0.030969030969030968,0.04129204129204129,"RAB3A, SNAP25, STX1A, VAMP2",0.1411,0.0802,1.76,6.682365096406979e-05
48,35,PATTERN_62,8,1.1310685379135363e-05,0.03496503496503497,0.043706293706293704,"EIF4A1, EIF4A2, EIF4E, EIF4E2, EIF4E3, EIF4G1, EIF4G2, EIF4G3",0.5489,0.398,1.379,0.0010333026973911152
49,30,PATTERN_58,3,6.127523039109368e-05,0.01098901098901099,0.04395604395604396,"COMMD3, COMMD9, VPS35L",0.2361,0.1496,1.578,0.0002294690284111731
50,8,PATTERN_28,8,7.593101783290109e-06,0.04795204795204795,0.04795204795204795,"COPB1, SEC13, SEC22B, SEC23A, SEC24A, SEC24B, SEC24C, SEC24D",0.2392,0.1665,1.436,0.0010333026973911152
51,1,PATTERN_12,8,1.6106700558813883e-05,0.04995004995004995,0.04995004995004995,"EIF4A1, EIF4A2, EIF4E, EIF4E2, EIF4E3, EIF4G1, EIF4G2, EIF4G3",0.5489,0.398,1.379,0.0010333026973911152
52,45,PATTERN_69,9,1.0615469835316226e-05,0.04995004995004995,0.04995004995004995,"EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4E2, EIF4E3, EIF4G1, EIF4G2, EIF4G3",0.5242,0.3806,1.377,0.0012371901691863748
